Phase A,Phase B,Phase C,Classes
-0.0580857548363345,-0.925930027505674,0.935752611055494,Healthy
0.0470346465707891,-0.893458997783152,0.844811661008955,Healthy
0.152155047977913,-0.86098796806063,0.753870710962416,Healthy
0.254824093766476,-0.753234583385773,0.623997905960634,Healthy
0.304251677501581,-0.674251372331224,0.445171033691851,Healthy
0.331567109614384,-0.578025505862494,0.257643209471339,Healthy
0.377896240724062,-0.440338371582326,0.0969485448276388,Healthy
0.372052937787724,-0.329069065952778,-0.0978384718463151,Healthy
0.41581454208658,-0.138751567420562,-0.212559992036944,Healthy
0.384661948526795,-0.020811167779687,-0.383469542883978,Healthy
0.381708142705627,0.147803030780564,-0.500761822210476,Healthy
0.323534884723181,0.266424221513087,-0.63826657261417,Healthy
0.25551718921556,0.381366042252115,-0.75291504340566,Healthy
0.186181685912421,0.501643067917513,-0.830569735031969,Healthy
0.0808830203244735,0.585714863172168,-0.906334543820982,Healthy
0.038528047239606,0.724556233960162,-0.876859257553044,Healthy
-0.000640428391634803,0.854121616737952,-0.793529764654366,Healthy
-0.0459415496060872,0.945620498264849,-0.681249613223852,Healthy
-0.242847646353404,0.957120785308912,-0.58337156331474,Healthy
-0.419829158000273,0.965080794453538,-0.432260139343997,Healthy
-0.599194314341188,0.914121458696803,-0.290708765301375,Healthy
-0.75592629433625,0.828184525151416,-0.14179872315526,Healthy
-0.846524512631682,0.750816192235556,0.0500687532915174,Healthy
-0.917128372245978,0.627130426373651,0.219526546237482,Healthy
-0.917195926445136,0.522318805733408,0.424955249588936,Healthy
-0.943236899993351,0.335038320794411,0.554613687860561,Healthy
-0.892892553067764,0.185638367910559,0.711012723422034,Healthy
-0.837431247871964,-0.000835873903691767,0.813196779581314,Healthy
-0.735865893462558,-0.165505514744761,0.905430304268045,Healthy
-0.613664030852898,-0.336344882621035,0.958481309240337,Healthy
-0.482562617461181,-0.510372566712646,0.963946654982004,Healthy
-0.302832860776371,-0.638732065663693,0.966983561733079,Healthy
-0.133320095492938,-0.767566973693504,0.92503050772112,Healthy
0.0674639486929683,-0.84682294162361,0.873925449555644,Healthy
0.219908911335375,-0.93949844078494,0.751033577596939,Healthy
0.389925363985493,-0.98331175850856,0.621086383294932,Healthy
0.538176374459957,-1,0.4597006539188,Healthy
0.67285036685817,-0.983003738309382,0.283710920361299,Healthy
0.777799313049776,-0.947885462697713,0.0882335227754379,Healthy
0.863769073879265,-0.872536203063346,-0.103416702189051,Healthy
0.95328055355903,-0.734245892109889,-0.257256256122909,Healthy
0.99311990001345,-0.588136140814011,-0.423352413521687,Healthy
1,-0.41711910915293,-0.571698823576314,Healthy
0.976606567641425,-0.231659277483631,-0.702527865393836,Healthy
0.925113569307377,-0.0340103326104209,-0.806777666389361,Healthy
